Data,Vazao,Precipitacao
1964-05,39.988822580645156,22.86
1964-06,33.93039,21.39
1964-07,37.185929032258066,44.92
1964-08,28.920141935483873,12.68
1964-09,22.605226666666667,8.7
1964-10,49.80605806451613,251.04
1964-11,64.7559,195.29
1964-12,103.38329999999999,358.94
1965-01,139.08996774193548,345.78000000000003
1965-02,195.03182142857142,332.87
1965-03,150.55832258064515,208.22
1965-04,89.65281666666667,53.31
1965-05,83.66745806451614,64.54
1965-06,65.16446,5.63
1965-07,58.71804838709678,15.690000000000001
1965-08,53.41197741935484,32.400000000000006
1965-09,47.82374,55.989999999999995
1965-10,72.52637419354838,263.18
1965-11,80.65665333333332,165.43
1965-12,77.79816451612903,175.67000000000002
1966-01,250.44474838709678,441.61
1966-02,101.29019642857143,69.38
1966-03,96.78826451612903,108.80000000000001
1966-04,74.77904666666667,64.96000000000001
1966-05,62.86183225806452,16.36
1966-06,53.360753333333335,0.64
1966-07,50.58721935483871,12.27
1966-08,43.22534838709677,0.55
1966-09,38.43209,20.080000000000002
1966-10,51.72693870967742,102.27
1966-11,86.00068666666667,234.59
1966-12,109.20811935483871,247.51
1967-01,162.41889677419357,288.3
1967-02,167.52,187.18
1967-03,118.05343225806452,142.15
1967-04,79.16327333333334,32.76
1967-05,62.00463870967742,3.57
1967-06,52.992,1.29
1967-07,46.51241935483871,2.69
1967-08,40.25183225806452,0.75
1967-09,35.569406666666666,18.82
1967-10,37.55634516129032,81.13000000000001
1967-11,90.25427666666666,326.74
1967-12,86.72193870967742,211.22
1968-01,90.4252193548387,113.69
1968-02,63.030220689655174,162.25
1968-03,68.98293548387097,67.03999999999999
1968-04,52.505203333333334,34.07
1968-05,40.43785161290322,7.43
1968-06,37.048716666666664,1.0899999999999999
1968-07,33.731767741935485,8.65
1968-08,33.54334838709678,27.95
1968-09,37.863663333333335,77.66000000000001
1968-10,47.115161290322575,164.51
1968-11,42.418083333333335,105.92
1968-12,89.15227419354838,229.03
1969-01,79.65624193548386,224.15
1969-02,62.477125,114.26
1969-03,59.24483870967742,145.12
1969-04,44.00947,42.29
1969-05,34.37764838709678,15.05
1969-06,36.46994666666667,50.47
1969-07,31.448306451612904,16.16
1969-08,28.78689677419355,13.72
1969-09,24.97623666666667,36.260000000000005
1969-10,42.129854838709676,212.97
1969-11,76.77146666666667,259.07
1969-12,114.44556129032259,260.53
1970-01,89.6708,204.98
1970-02,55.221560714285715,67.21
1970-03,46.09506451612903,66.89
1970-04,41.69777666666666,72.22
1970-05,34.79261935483871,4.62
1970-06,30.830513333333332,19.98
1970-07,34.06762580645161,38.1
1970-08,29.124419354838707,53.7
1970-09,40.31966666666666,65.65
1970-10,51.8333,112.42
1970-11,64.28691333333333,158.0
1970-12,51.07785483870968,118.75
1971-01,38.82781612903226,99.72
1971-02,32.0728,72.99
1971-03,43.15653548387097,100.08
1971-04,28.143686666666667,34.2
1971-05,22.508551612903226,11.25
1971-06,28.987723333333335,56.370000000000005
1971-07,25.17367741935484,3.9299999999999997
1971-08,21.8546,16.45
1971-09,27.65450333333333,73.92
1971-10,33.46930967741936,120.37
1971-11,83.18626,307.65
1971-12,133.62209354838708,299.71999999999997
1972-01,74.55164193548387,99.0
1972-02,110.14304827586207,253.96
1972-03,125.99412903225807,166.61
1972-04,67.941,72.87
1972-05,52.32296774193548,19.05
1972-06,43.27486333333333,0.08
1972-07,49.24305161290322,46.440000000000005
1972-08,37.801164516129035,26.49
1972-09,37.69501,47.35
1972-10,53.84298387096774,132.26
1972-11,96.22896333333333,310.3
1972-12,129.2226064516129,341.71
1973-01,171.93667741935485,319.19
1973-02,114.51294642857144,147.18
1973-03,151.44189677419357,234.49
1973-04,104.94807,97.09
1973-05,74.92643870967741,35.74
1973-06,67.13736666666667,34.14
1973-07,58.7682,7.61
1973-08,50.1927,18.150000000000002
1973-09,43.82149666666667,21.13
1973-10,61.07767419354838,137.39
1973-11,86.19100666666667,192.59
1973-12,98.68360967741935,235.14000000000001
1974-01,119.96413870967743,191.82
1974-02,71.83571428571429,60.07
1974-03,78.5151193548387,193.9
1974-04,82.30108333333332,103.3
1974-05,56.19117741935484,25.3
1974-06,50.24983,29.15
1974-07,41.75389677419354,0.12000000000000001
1974-08,37.81133548387097,4.27
1974-09,32.74399666666667,3.61
1974-10,56.156970967741934,165.7
1974-11,40.683456666666665,74.98
1974-12,65.33822903225806,230.11
1975-01,110.12373870967743,248.31
1975-02,106.96930714285715,158.63
1975-03,52.2585064516129,47.85
1975-04,50.624093333333334,61.81
1975-05,41.0719935483871,30.05
1975-06,36.029646666666665,9.74
1975-07,38.50272580645161,49.690000000000005
1975-08,30.25244193548387,0.0
1975-09,27.888283333333334,33.29
1975-10,39.87577419354838,130.97
1975-11,105.09855333333333,332.37
1975-12,68.41105483870967,121.91000000000001
1976-01,44.13345161290322,120.92
1976-02,73.88833103448275,189.82
1976-03,50.762796774193546,109.1
